Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
1,1.5,0.9369369369369369,1.6646890102756418,0.41180658198768233,3.5,1.3333333333333333,0.34615384615384615,3,0.8076304922145844,0.37336196440607144,2.000090214032793,0.14377144977274833,0.5576923076923077,3,1.3253860312053822,0.8213342928233976,5.641578947368421,0.39999999999999997,0.36036036036036034,3,104,7,31.464131462067446,29.512441358265416,191.32244706101432,0.30413812651491046,3
2,2.5,0.835820895522388,1.6609199939055608,0.4208453918114636,3.0,1.25,0.48214285714285715,1,0.9442174661504766,0.4446512970145186,2.0,0.3333333333333333,0.5625,3,1.1728840293396687,0.5438028171153432,2.5,0.25,0.5,1,112,22,28.32255031065689,23.573922893901344,148.32013563914006,1.0612600506365033,3
3,3.5,0.7946428571428571,1.799090654990716,1.598354860462383,16.270830599658836,1.25,0.5112359550561798,1,0.9887320767254802,0.4374966152111091,2.0,0.3333333333333333,0.601123595505618,1,1.1977279259458586,0.8691846029295511,7.797761287888316,0.3333333333333333,0.5044642857142857,1,178,46,31.10375098602065,26.044548068485025,143.85039973140368,0.8981091247727082,3
4,4.5,0.7106741573033708,1.6315341187717365,0.3304602460325358,3.0,1.25,0.5098814229249012,3,0.886139629411733,0.3802731646341132,2.0,0.3333333333333333,0.5889328063241107,3,1.078044650843709,0.5473016469291131,3.0000676589986472,0.06145967741935484,0.5140449438202247,3,253,103,25.43489479438203,20.670199355639966,113.66629754909536,1.0436900227582486,3
5,5.5,0.6739130434782609,1.620228776193093,0.3340132506157072,3.5,1.2271444348999878,0.5249266862170088,3,0.8527345369761336,0.3980859785712133,2.0,0.2857142857142857,0.6041055718475073,3,1.2003455853566989,0.582333451866413,3.5,0.2857142857142857,0.5889328063241107,3,341,165,23.635320281868406,21.92358954722229,134.9372164868371,0.528015151297772,3
6,6.5,0.6348973607038123,1.5995822276253555,0.36319971718893235,5.0,1.1940298507462686,0.5311778290993071,2,0.9494943931403933,0.5003199681984488,3.0,0.19999999999999998,0.6443418013856813,3,1.1521439932157378,0.5504683402849304,2.9999999999999996,0.3333333333333333,0.5821114369501467,3,433,249,22.88640171415928,21.5377476528959,162.9945940659313,0.26832815729997855,3
7,7.5,0.6189376443418014,1.6155582435207467,0.3851461581950884,4.0,1.0078,0.6175373134328358,3,0.8830893533029492,0.42529197248605044,2.9999999999999996,0.25,0.6772388059701493,3,1.1224570598101875,0.548895568735451,5.0,0.2,0.605080831408776,3,536,330,20.196011501368947,18.056308630386987,158.2165817736748,0.22803508501982211,3
8,8.5,0.5886194029850746,1.6074392055448385,0.4256637136374841,5.0,1.0035,0.5832012678288431,3,0.8903084252582644,0.42137361558860165,2.5,0.19999999999999998,0.624405705229794,3,1.1317359701629823,0.5446264849711056,4.0,0.33333333333333337,0.6044776119402985,3,631,441,18.866072032601007,17.988266080860576,133.15767637062902,0.1910497317454268,3
9,9.5,0.5966719492868463,1.5947419443952298,0.3718342819566211,5.5,1.0035,0.5644090305444888,3,0.8381562075547356,0.381257713631571,2.000090214032793,0.2727272727272727,0.6294820717131474,3,1.1813900936399253,0.5736482221145464,5.0,0.33332581583635906,0.6212361331220285,3,753,509,17.450058515672907,16.80686355848591,159.7200687725953,0.3047950130825576,3
10,10.5,0.5391766268260292,1.57359739036056,0.3189942878509668,4.333333333333333,1.0524566554035342,0.6096059113300493,3,0.8780864258770664,0.3950033793576577,2.5,0.23076923076923075,0.6206896551724138,3,1.145386102410355,0.551222527710267,5.5,0.25,0.6294820717131474,1,812,694,16.49297486972011,16.723457534060305,158.5952842666982,0.3124099870362509,3
