Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
1,1.5,0.9529411764705882,1.467032273991394,0.3922713990163783,3.5,1.0048125383933995,0.2716049382716049,3,0.8559821458652774,0.28533761608987235,2.000090214032793,0.14377144977274833,0.3868312757201646,3,1.495502766546408,0.9082829064093274,6.6643952771718435,0.39999999999999997,0.2627450980392157,3,243,12,36.913168633398506,32.1497735135548,213.99124015858072,0.30413812651491046,3
2,2.5,0.8575949367088608,1.444326643248985,0.39178312756684053,3.0,1.000008431703204,0.34686346863468637,3,0.9150931656240849,0.30344037771765686,2.0,0.3013723020190433,0.42435424354243545,3,1.2916342654102755,0.735085668565646,6.769457646991335,0.20595947556615019,0.37341772151898733,3,271,45,35.69800616122313,28.556214078100385,153.4674817184333,0.17695731476100787,3
3,3.5,0.7981818181818182,1.4624360287647804,0.9903532941914421,16.270830599658836,1.000008431703204,0.4214123006833713,1,0.9390543297415611,0.28340690707254423,2.0,0.32029277580199017,0.46924829157175396,3,1.340377982878175,0.8497181826989251,7.797761287888316,0.20162507026419338,0.3836363636363636,3,439,111,34.31642836597455,28.395014380379322,191.0118977222136,0.14333527130471846,3
4,4.5,0.7102272727272727,1.4170822987595322,0.36701858516907815,3.195507255109251,1.000025295109612,0.4528,3,0.9104232385290791,0.261424425105592,2.0,0.30923162631240625,0.496,3,1.235615299930813,0.6618029922475076,5.776172006745362,0.06145967741935484,0.45681818181818185,3,625,255,27.164597781919543,22.332236777749458,154.26963448803377,0.054353012796013754,3
5,5.5,0.6557507987220448,1.3876549802047038,0.35067449753304136,3.5,1.0000168634064082,0.47503045066991473,3,0.8985580499040389,0.2714040428778643,2.0,0.2857142857142857,0.5334957369062119,3,1.2798848263335192,0.5957474669738887,5.0,0.2857142857142857,0.5023961661341853,3,821,431,24.696731314233297,22.179318026769177,168.72467282229388,0.07692203845448924,3
6,6.5,0.6023072252580449,1.3884069938273733,0.3597144734494964,5.0,1.000008431703204,0.48185483870967744,3,0.9387153607627098,0.3280710132405762,3.0,0.19999999999999998,0.5665322580645161,3,1.2341423407474945,0.5668852633240735,6.992731871838112,0.19481069258194753,0.5106253794778385,3,992,655,22.880983182444368,20.9637070287047,196.8700791419104,0.2258539350996428,3
7,7.5,0.5817908954477239,1.3910961313782357,0.3778780297629314,4.0,1.000008431703204,0.5331040412725709,3,0.9207700994269625,0.29825600205222713,2.9999999999999996,0.25,0.588134135855546,3,1.2515251736332353,0.6339659684874976,6.0,0.2,0.5407703851925963,3,1163,836,21.22425529108706,18.919417731214992,161.19522759730089,0.22803508501982211,3
8,8.5,0.5512820512820513,1.3879101601947907,0.3884548601966474,5.0,1.0000084317742983,0.5263565891472868,3,0.9186295439516882,0.29785106916539705,2.5,0.19999999999999998,0.5728682170542636,3,1.2375550607140544,0.6038269976714856,6.507537942664418,0.2014404711300534,0.5401709401709401,3,1290,1050,19.477277243972775,17.87025577495075,169.8057420468148,0.08624512392842865,3
9,9.5,0.5513513513513514,1.4011233366831135,0.39417442902062033,5.5,1.0000084319164901,0.5217086834733894,3,0.897454247843733,0.2899806725140857,2.000090214032793,0.2540924684394672,0.584733893557423,3,1.2578445386949828,0.6595352933577555,6.7818887015177065,0.30504667294681853,0.5602316602316603,3,1428,1162,18.020638431954893,16.497045659074622,159.7200687725953,0.1291897828777556,3
10,10.5,0.5158371040723982,1.385700979468569,0.34913351887477734,4.333333333333333,1.0000084317742983,0.5546558704453441,3,0.9132981917525904,0.3014742317159658,2.5,0.23076923076923075,0.5843454790823212,3,1.2451210193824207,0.6263478769641869,6.914502529510961,0.25,0.5784893839192482,3,1482,1391,16.889399719850786,16.007205485055245,158.5952842666982,0.17086251783231274,3
11,11.5,0.4959677419354839,1.4301887789004057,0.4676615128890382,8.0,1.0000084317742983,0.535230352303523,3,0.9094925895036241,0.335384209023728,2.9999999999999996,0.125,0.5752032520325203,3,1.2409854408052867,0.6258939093567375,6.500000000000001,0.2,0.5739247311827957,3,1476,1500,15.721333754132084,15.040989837286892,198.20351683862788,0.15000000000000355,3
12,12.5,0.48347943358057993,1.444744978893786,0.3729682441425267,4.0,1.0000168636907873,0.5676429567642957,3,0.8911308163310085,0.31677605860090746,2.5,0.25,0.6338912133891214,3,1.2543294643668759,0.6394488740706317,7.0,0.3999945873533511,0.5761968981793661,3,1434,1532,15.287857177089409,14.797421604980133,176.25522486206515,0.1296080630207391,3
13,13.5,0.48351266921207914,1.4620223286327074,0.406332959627673,5.0,1.000008431703204,0.5764536970567121,3,0.8837097154095074,0.31619685036025497,2.0,0.2,0.6360373295046662,3,1.2158698297617547,0.5864951198262922,6.0,0.23076923076923075,0.6157584172162444,3,1393,1488,14.13698090143534,13.944288773084178,181.80733590153864,0.06030132668528764,3
14,14.5,0.4603854389721627,1.5015843078110997,0.5100890334577739,5.5,1.000008431703204,0.5782945736434109,3,0.8791563857276227,0.3389882212188705,2.0,0.18485136111780293,0.641860465116279,3,1.1962421459587431,0.5855711625240625,7.200775716694773,0.2222222222222222,0.6206281227694503,3,1290,1512,13.57847596262328,13.218550945604928,106.74258861117974,0.15000000000000568,3
15,15.5,0.4528228924980665,1.4841595013584798,0.37276073272817956,4.0,1.0000168634064082,0.5533731853116994,3,0.8667516408718517,0.34457723886913766,2.5,0.25,0.6182749786507259,3,1.2173951657739763,0.5989230168651238,6.453490725126476,0.25,0.6237432327919566,3,1171,1415,13.459810842388308,13.43599761058136,116.74617065831674,0.15033296378373603,3
16,16.5,0.4394714407502131,1.4934600816222043,0.4545998637870433,8.0,1.0000252957494709,0.5984481086323957,2,0.8649647539030532,0.3413293575935632,2.000090214032793,0.125,0.6644034917555771,3,1.2072105750639663,0.5730833973576801,6.0,0.39999999999999997,0.6261722080136403,3,1031,1315,12.836606419581178,13.406871671899458,125.43827239294771,0.05864511914898802,3
17,17.5,0.4263565891472868,1.5311540136822877,0.4077642990601729,5.5,1.000167256750356,0.6045454545454545,3,0.8809808035870558,0.3840137746560208,2.5,0.2676184437132062,0.6454545454545455,3,1.197822300957784,0.5968838861239841,8.0,0.3333333333333333,0.6492248062015504,3,880,1184,12.416540597969144,12.933301625047386,130.94891582818096,0.18867962264114124,3
18,18.5,0.3967082860385925,1.6135215819405304,0.7672702546846196,11.500338294993236,1.0008340283569643,0.6151645207439199,2,0.8433778858763834,0.38946881855516924,2.5,0.08695396381820855,0.6652360515021459,3,1.192360930976339,0.5283836975747286,5.5,0.2,0.6617480136208853,2,699,1063,12.456752312226747,13.7502308309674,134.7383781742781,0.08068612024383619,3
19,19.5,0.4155937052932761,1.5459477851513683,0.30597018157227585,3.5,1.0008340283569643,0.6075731497418244,3,0.8312248226859047,0.34196610641915093,2.0,0.2857142857142857,0.6609294320137694,3,1.232782374530286,0.7109421885507273,7.667065111978168,0.2222222222222222,0.6652360515021459,3,581,817,11.93842879209181,13.03454043565225,92.84576748669618,0.15000000000000568,3
20,20.5,0.40893470790378006,1.6491767214079365,0.8493168941101673,11.836410211112092,1.006711409395973,0.6071428571428571,1,0.8375140019694264,0.36345519410039767,2.0,0.2222222222222222,0.6680672268907563,3,1.2304371006902852,0.534516177881577,3.684064080944351,0.25850043118375216,0.6786941580756014,3,476,688,11.536728553180659,12.01449973661775,95.85678009244761,0.1886796226411503,3
21,21.5,0.40021008403361347,1.5950763845910785,0.38715080071838104,3.0,1.0009320243569033,0.6535433070866141,2,0.8661366514879165,0.4073611785959146,2.0,0.08448507462686566,0.6745406824146981,3,1.235454082224597,0.6177307385113529,4.5,0.3999945873533511,0.6796218487394958,3,381,571,11.532579939873651,11.58230107901354,70.98928591848063,0.10049875621123061,3
22,22.5,0.4015748031496063,1.591913016229358,0.3819088345879961,4.5,1.0046675415080313,0.6176470588235294,2,0.8272297307103724,0.34857407714917066,1.5,0.2222222222222222,0.6633986928104575,1,1.1780252930695618,0.5869955706091371,4.316424957841484,0.2857142857142857,0.6863517060367454,3,306,456,11.945778766519592,12.899985592278219,116.46551470726054,0.15524174696258355,3
23,23.5,0.3464052287581699,1.6434831290750695,0.30814342128828276,2.9999999999999996,1.15477937234616,0.660377358490566,2,0.7833553216676726,0.34196408129776357,1.6666666666666665,0.33333333333333337,0.7122641509433962,3,1.1547466370886228,0.5269134756331301,3.0,0.0952411637722718,0.6862745098039216,1,212,400,11.628381062111332,12.557112542987529,119.062284978485,0.15811388300841717,3
24,24.5,0.3608490566037736,1.657386649313248,0.43448280282846635,3.0,1.0077894736842106,0.6274509803921569,3,0.8639743453911565,0.4230377567872306,2.0,0.3333333333333333,0.673202614379085,3,1.1868804727763516,0.5218240697032512,2.5000338294993236,0.4,0.6816037735849056,3,153,271,11.801697851321064,13.281023582473198,117.09477691342944,0.3080584360149912,3
25,25.5,0.35947712418300654,1.6925607177076551,1.040786756741843,8.0,1.030371218155728,0.6272727272727273,1,0.8463367283156976,0.3816789026208328,1.6666666666666665,0.125,0.6818181818181818,3,1.160812162528492,0.6131095919334549,3.0,0.39999999999999997,0.6797385620915033,3,110,196,10.461770902786736,10.827143502864521,85.7545059931636,0.15811388300841717,3
26,26.5,0.4318181818181818,1.6373655685533224,0.3958821748676193,3.0,1.2292006745362565,0.6631578947368421,2,0.8985210486357206,0.6998225183124452,4.0,0.3333333333333333,0.6842105263157895,2,1.2601587096182751,0.7174260808318684,5.333333333333333,0.25,0.7090909090909091,2,95,125,10.105442585827783,11.808365748085675,124.29158722854471,0.14999999999998864,3
27,27.5,0.37894736842105264,1.6399959404600812,0.36856117092283436,3.0,1.4999661705006768,0.6527777777777778,1,0.8559988814148443,0.40582281771606493,1.5,0.3333333333333333,0.6527777777777778,1,1.158685424385316,0.6411491094845431,3.0,0.4,0.6894736842105263,3,72,118,11.596066655211667,14.330443212782665,114.01340253967878,0.1499999999999943,3
28,28.5,0.3888888888888889,1.7499978856562923,0.44721989946111046,3.0,1.4999661705006768,0.7142857142857143,2,0.7539221346877736,0.348983224763643,1.4999999999999998,0.3333333333333333,0.6964285714285714,3,1.224995677358708,0.5668282878053826,3.0,0.5,0.7222222222222222,1,56,88,8.932532170271196,9.386180068550267,56.96866286818039,0.47010637094173535,3
29,29.5,0.375,1.4848419923799663,0.05023976631001397,1.5,1.3333634046775975,0.7380952380952381,2,0.8750061081464321,0.38576504502638526,1.5000338294993236,0.6666666666666666,0.8095238095238095,1,1.2368159065304096,0.628386136280785,3.0,0.11764705882352941,0.6696428571428571,2,42,70,9.33925526800877,8.171233941397372,37.137318035235545,0.13416407864997976,3
30,31.5,0.3782051282051282,1.6132089036478021,0.2667998662327017,2.5,1.3303579091923439,0.576271186440678,1,0.8515846167548459,0.37828699560198875,1.5,0.5,0.6440677966101694,1,1.0653031089748253,0.45650005516375985,2.0,0.5,0.6602564102564102,1,59,97,7.806474144535868,7.918113258648768,49.15304355618846,0.33241540277190007,3
